10,19
10,267
10,119
10,114
10,112
10,72
10,3
10,103
10,222
10,161
11,115
11,69
11,157
11,4
11,28
11,51
11,62
11,134
11,43
11,19
12,119
12,40
12,99
12,32
12,67
12,103
12,254
12,51
12,267
12,29
13,7
13,222
13,19
13,78
13,238
13,18
13,79
13,11
13,497
13,127
14,61
14,6
14,62
14,51
14,154
14,236
14,19
14,43
14,122
14,25
15,21
15,103
15,19
15,412
15,86
15,267
15,23
15,64
15,115
15,157
16,11
16,30
16,157
16,236
16,44
16,38
16,75
16,89
16,29
16,19
17,11
17,412
17,222
17,236
17,62
17,122
17,81
17,161
17,51
17,19
18,99
18,22
18,26
18,59
18,19
18,412
18,7
18,17
18,64
18,51
19,420
19,113
19,96
19,40
19,84
19,127
19,236
19,53
19,58
19,19
